
15-02-2017 09:07:44:966 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:3, Y:4, Key:A)
15-02-2017 09:07:45:235 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:20, Key:B)
15-02-2017 09:07:45:439 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:3, Y:18, Key:C)
15-02-2017 09:07:45:621 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:18, Y:3, Key:D)
15-02-2017 09:07:45:621 - D: 	Beginning round processing
15-02-2017 09:07:45:621 - D: 	Removing Bomb Explosions from map
15-02-2017 09:07:45:621 - D: 	Decreasing Bomb Timers
15-02-2017 09:07:45:621 - D: 	Detonating Bombs
15-02-2017 09:07:45:621 - I: 	Detonating Bomb BombEntity(X:20, Y:19, Radius:1, Timer:0, Owner:B)
15-02-2017 09:07:45:621 - D: 	Processing Player Commands
15-02-2017 09:07:45:621 - I: 	Trying to move player B to destination Location(X:18,Y:19)
15-02-2017 09:07:45:621 - D: 	Applying player power ups
15-02-2017 09:07:45:621 - D: 	Destroying marked entities
15-02-2017 09:07:45:621 - D: 	Destroyed Entity DestructibleWallEntity(X:20, Y:18)
15-02-2017 09:07:45:621 - I: 	Player PlayerEntity(X:3, Y:4, Key:A) has a movement coverage of 1,78% for the map
15-02-2017 09:07:45:621 - I: 	Player PlayerEntity(X:18, Y:19, Key:B) has a movement coverage of 1,78% for the map
15-02-2017 09:07:45:621 - I: 	Player PlayerEntity(X:3, Y:18, Key:C) has a movement coverage of 1,78% for the map
15-02-2017 09:07:45:621 - I: 	Player PlayerEntity(X:18, Y:3, Key:D) has a movement coverage of 1,78% for the map
15-02-2017 09:07:45:621 - D: 	Round processing complete
