
15-02-2017 09:04:07:409 - I: 	Executing process E:\kuda\v1.2.6\Game Engine\Calibrations\BotCalibrationDotNet.exe A "E:\kuda\v1.2.6\Game Engine\Replays\1100803873\0\A"
15-02-2017 09:04:09:426 - I: 	Bot calibration complete and can run an additional 2120ms due to environment startup
15-02-2017 09:04:09:463 - D: 	Executing bot with following commands ../Reference Bot\Reference\bin\Debug\Reference.exe A "E:\kuda\v1.2.6\Game Engine\Replays\1100803873\0\A"
15-02-2017 09:04:09:463 - I: 	Executing process ../Reference Bot\Reference\bin\Debug\Reference.exe A "E:\kuda\v1.2.6\Game Engine\Replays\1100803873\0\A"
15-02-2017 09:04:09:579 - I: 	Bot has 4000ms to run before it will be forcefully killed
15-02-2017 09:04:11:412 - I: 	Output from bot: *********************
15-02-2017 09:04:11:412 - I: 	Output from bot: *A ##  #     #  ## D*
15-02-2017 09:04:11:412 - I: 	Output from bot: *.* *#*#* * *#*#* * *
15-02-2017 09:04:11:412 - I: 	Output from bot: *.....# #   # # # ##*
15-02-2017 09:04:11:412 - I: 	Output from bot: *#* *.* *#*#* * * *#*
15-02-2017 09:04:11:412 - I: 	Output from bot: *  # ..... # # # #  *
15-02-2017 09:04:11:412 - I: 	Output from bot: *#* * *#*.* *#* * *#*
15-02-2017 09:04:11:412 - I: 	Output from bot: * ###    .##    ### *
15-02-2017 09:04:11:412 - I: 	Output from bot: * * *#* *.*#* *#* * *
15-02-2017 09:04:11:412 - I: 	Output from bot: *    ## #.### ##    *
15-02-2017 09:04:11:412 - I: 	Output from bot: * *#*#* *..#* *#*#* *
15-02-2017 09:04:11:412 - I: 	Output from bot: *    ## ##### ##    *
15-02-2017 09:04:11:412 - I: 	Output from bot: * * *#* *#*#* *#* * *
15-02-2017 09:04:11:412 - I: 	Output from bot: * ###    ###    ### *
15-02-2017 09:04:11:412 - I: 	Output from bot: *#* * *#* * *#* * *#*
15-02-2017 09:04:11:412 - I: 	Output from bot: *  # # # # # # # #  *
15-02-2017 09:04:11:412 - I: 	Output from bot: *#* * * *#*#* * * *#*
15-02-2017 09:04:11:412 - I: 	Output from bot: *## # # #   # # # ##*
15-02-2017 09:04:11:412 - I: 	Output from bot: * * *#*#* * *#*#* * *
15-02-2017 09:04:11:412 - I: 	Output from bot: *C ##  #     #  ## B*
15-02-2017 09:04:11:412 - I: 	Output from bot: *********************
15-02-2017 09:04:11:412 - I: 	Output from bot: Executing move command
15-02-2017 09:04:11:412 - I: 	Output from bot: Sending Back command MoveDown
15-02-2017 09:04:11:428 - I: 	Output from bot: 
15-02-2017 09:04:11:444 - E: 	Output from bot: 
15-02-2017 09:04:11:445 - I: 	Your bots total execution time was 00:00:01.9812099
