
15-02-2017 11:24:40:854 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:11, Key:A)
15-02-2017 11:24:41:023 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:18, Y:17, Key:B)
15-02-2017 11:24:41:023 - D: 	Beginning round processing
15-02-2017 11:24:41:023 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:41:023 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:41:023 - D: 	Detonating Bombs
15-02-2017 11:24:41:023 - I: 	Detonating Bomb BombEntity(X:6, Y:12, Radius:1, Timer:0, Owner:A)
15-02-2017 11:24:41:023 - D: 	Processing Player Commands
15-02-2017 11:24:41:023 - I: 	Trying to move player A to destination Location(X:4,Y:10)
15-02-2017 11:24:41:023 - I: 	Trying to move player B to destination Location(X:18,Y:18)
15-02-2017 11:24:41:023 - D: 	Applying player power ups
15-02-2017 11:24:41:023 - D: 	Destroying marked entities
15-02-2017 11:24:41:023 - D: 	Destroyed Entity DestructibleWallEntity(X:6, Y:11)
15-02-2017 11:24:41:023 - D: 	Destroyed Entity DestructibleWallEntity(X:7, Y:12)
15-02-2017 11:24:41:023 - I: 	Player PlayerEntity(X:4, Y:10, Key:A) has a movement coverage of 5,34% for the map
15-02-2017 11:24:41:023 - I: 	Player PlayerEntity(X:18, Y:18, Key:B) has a movement coverage of 4,98% for the map
15-02-2017 11:24:41:023 - D: 	Round processing complete
