
15-02-2017 09:07:57:015 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:3, Key:A)
15-02-2017 09:07:57:216 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:18, Key:B)
15-02-2017 09:07:57:394 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:2, Y:18, Key:C)
15-02-2017 09:07:57:579 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:18, Y:2, Key:D)
15-02-2017 09:07:57:579 - D: 	Beginning round processing
15-02-2017 09:07:57:579 - D: 	Removing Bomb Explosions from map
15-02-2017 09:07:57:579 - D: 	Decreasing Bomb Timers
15-02-2017 09:07:57:579 - D: 	Detonating Bombs
15-02-2017 09:07:57:579 - I: 	Detonating Bomb BombEntity(X:20, Y:18, Radius:1, Timer:0, Owner:B)
15-02-2017 09:07:57:579 - D: 	Processing Player Commands
15-02-2017 09:07:57:579 - I: 	Trying to move player A to destination Location(X:2,Y:2)
15-02-2017 09:07:57:579 - I: 	Trying to move player B to destination Location(X:18,Y:17)
15-02-2017 09:07:57:579 - I: 	Trying to move player D to destination Location(X:18,Y:3)
15-02-2017 09:07:57:579 - D: 	Applying player power ups
15-02-2017 09:07:57:579 - D: 	Destroying marked entities
15-02-2017 09:07:57:579 - D: 	Destroyed Entity DestructibleWallEntity(X:20, Y:17)
15-02-2017 09:07:57:579 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 1,78% for the map
15-02-2017 09:07:57:579 - I: 	Player PlayerEntity(X:18, Y:17, Key:B) has a movement coverage of 3,20% for the map
15-02-2017 09:07:57:579 - I: 	Player PlayerEntity(X:2, Y:18, Key:C) has a movement coverage of 1,78% for the map
15-02-2017 09:07:57:579 - I: 	Player PlayerEntity(X:18, Y:3, Key:D) has a movement coverage of 1,78% for the map
15-02-2017 09:07:57:579 - D: 	Round processing complete
