
07-02-2017 11:47:55:556 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:2, Y:8, Key:A)
07-02-2017 11:47:55:757 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:18, Y:20, Key:B)
07-02-2017 11:47:55:757 - D: 	Beginning round processing
07-02-2017 11:47:55:757 - D: 	Removing Bomb Explosions from map
07-02-2017 11:47:55:757 - D: 	Decreasing Bomb Timers
07-02-2017 11:47:55:757 - D: 	Detonating Bombs
07-02-2017 11:47:55:757 - D: 	Processing Player Commands
07-02-2017 11:47:55:757 - D: 	Applying player power ups
07-02-2017 11:47:55:757 - D: 	Destroying marked entities
07-02-2017 11:47:55:757 - I: 	Player PlayerEntity(X:2, Y:8, Key:A) has a movement coverage of 2,85% for the map
07-02-2017 11:47:55:757 - I: 	Player PlayerEntity(X:18, Y:20, Key:B) has a movement coverage of 2,49% for the map
07-02-2017 11:47:55:757 - D: 	Round processing complete
