
19-02-2017 12:16:33:299 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:2, Y:2, Key:A)
19-02-2017 12:16:33:321 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:20, Y:19, Key:B)
19-02-2017 12:16:33:321 - D: 	Beginning round processing
19-02-2017 12:16:33:321 - D: 	Removing Bomb Explosions from map
19-02-2017 12:16:33:321 - D: 	Decreasing Bomb Timers
19-02-2017 12:16:33:321 - D: 	Detonating Bombs
19-02-2017 12:16:33:321 - D: 	Processing Player Commands
19-02-2017 12:16:33:321 - I: 	Trying to move player B to destination Location(X:20,Y:20)
19-02-2017 12:16:33:321 - D: 	Applying player power ups
19-02-2017 12:16:33:321 - D: 	Destroying marked entities
19-02-2017 12:16:33:321 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 0,36% for the map
19-02-2017 12:16:33:321 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 0,71% for the map
19-02-2017 12:16:33:321 - D: 	Round processing complete
