
15-02-2017 09:08:23:070 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:6, Key:A)
15-02-2017 09:08:23:239 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:17, Y:16, Key:B)
15-02-2017 09:08:23:513 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:6, Y:16, Key:C)
15-02-2017 09:08:23:729 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:17, Y:6, Key:D)
15-02-2017 09:08:23:729 - D: 	Beginning round processing
15-02-2017 09:08:23:729 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:23:729 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:23:729 - D: 	Detonating Bombs
15-02-2017 09:08:23:729 - D: 	Processing Player Commands
15-02-2017 09:08:23:729 - I: 	Trying to move player A to destination Location(X:4,Y:5)
15-02-2017 09:08:23:729 - I: 	Trying to move player B to destination Location(X:16,Y:16)
15-02-2017 09:08:23:729 - I: 	Trying to move player C to destination Location(X:5,Y:16)
15-02-2017 09:08:23:729 - I: 	Trying to move player D to destination Location(X:18,Y:6)
15-02-2017 09:08:23:729 - D: 	Applying player power ups
15-02-2017 09:08:23:729 - D: 	Destroying marked entities
15-02-2017 09:08:23:729 - I: 	Player PlayerEntity(X:4, Y:5, Key:A) has a movement coverage of 5,34% for the map
15-02-2017 09:08:23:729 - I: 	Player PlayerEntity(X:16, Y:16, Key:B) has a movement coverage of 5,69% for the map
15-02-2017 09:08:23:729 - I: 	Player PlayerEntity(X:5, Y:16, Key:C) has a movement coverage of 4,63% for the map
15-02-2017 09:08:23:729 - I: 	Player PlayerEntity(X:18, Y:6, Key:D) has a movement coverage of 4,63% for the map
15-02-2017 09:08:23:729 - D: 	Round processing complete
