
07-02-2017 11:48:00:368 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:5, Key:A)
07-02-2017 11:48:00:566 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:18, Y:17, Key:B)
07-02-2017 11:48:00:566 - D: 	Beginning round processing
07-02-2017 11:48:00:566 - D: 	Removing Bomb Explosions from map
07-02-2017 11:48:00:566 - D: 	Decreasing Bomb Timers
07-02-2017 11:48:00:566 - D: 	Detonating Bombs
07-02-2017 11:48:00:566 - D: 	Processing Player Commands
07-02-2017 11:48:00:566 - I: 	Trying to move player A to destination Location(X:2,Y:6)
07-02-2017 11:48:00:566 - D: 	Applying player power ups
07-02-2017 11:48:00:566 - D: 	Destroying marked entities
07-02-2017 11:48:00:566 - I: 	Player PlayerEntity(X:2, Y:6, Key:A) has a movement coverage of 3,56% for the map
07-02-2017 11:48:00:566 - I: 	Player PlayerEntity(X:18, Y:17, Key:B) has a movement coverage of 3,20% for the map
07-02-2017 11:48:00:566 - D: 	Round processing complete
