
15-02-2017 09:08:40:927 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:9, Key:A)
15-02-2017 09:08:41:188 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:17, Y:10, Key:B)
15-02-2017 09:08:41:431 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:10, Y:16, Key:C)
15-02-2017 09:08:41:816 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:14, Y:7, Key:D)
15-02-2017 09:08:41:816 - D: 	Beginning round processing
15-02-2017 09:08:41:816 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:41:816 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:41:816 - D: 	Detonating Bombs
15-02-2017 09:08:41:816 - D: 	Processing Player Commands
15-02-2017 09:08:41:816 - I: 	Trying to move player A to destination Location(X:6,Y:10)
15-02-2017 09:08:41:816 - I: 	Trying to move player C to destination Location(X:10,Y:15)
15-02-2017 09:08:41:816 - D: 	Applying player power ups
15-02-2017 09:08:41:816 - D: 	Destroying marked entities
15-02-2017 09:08:41:816 - I: 	Player PlayerEntity(X:6, Y:10, Key:A) has a movement coverage of 6,76% for the map
15-02-2017 09:08:41:816 - I: 	Player PlayerEntity(X:17, Y:10, Key:B) has a movement coverage of 9,96% for the map
15-02-2017 09:08:41:816 - I: 	Player PlayerEntity(X:10, Y:15, Key:C) has a movement coverage of 8,54% for the map
15-02-2017 09:08:41:816 - I: 	Player PlayerEntity(X:14, Y:7, Key:D) has a movement coverage of 7,12% for the map
15-02-2017 09:08:41:816 - D: 	Round processing complete
