
15-02-2017 09:07:52:054 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:2, Key:A)
15-02-2017 09:07:52:253 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:20, Y:19, Key:B)
15-02-2017 09:07:52:496 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:3, Y:20, Key:C)
15-02-2017 09:07:52:870 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:20, Y:3, Key:D)
15-02-2017 09:07:52:870 - D: 	Beginning round processing
15-02-2017 09:07:52:870 - D: 	Removing Bomb Explosions from map
15-02-2017 09:07:52:870 - D: 	Decreasing Bomb Timers
15-02-2017 09:07:52:870 - D: 	Detonating Bombs
15-02-2017 09:07:52:870 - D: 	Processing Player Commands
15-02-2017 09:07:52:870 - I: 	Trying to move player A to destination Location(X:2,Y:3)
15-02-2017 09:07:52:870 - I: 	Trying to move player B to destination Location(X:20,Y:18)
15-02-2017 09:07:52:870 - I: 	Trying to move player C to destination Location(X:2,Y:20)
15-02-2017 09:07:52:870 - D: 	Applying player power ups
15-02-2017 09:07:52:870 - D: 	Destroying marked entities
15-02-2017 09:07:52:870 - I: 	Player PlayerEntity(X:2, Y:3, Key:A) has a movement coverage of 1,78% for the map
15-02-2017 09:07:52:870 - I: 	Player PlayerEntity(X:20, Y:18, Key:B) has a movement coverage of 2,14% for the map
15-02-2017 09:07:52:870 - I: 	Player PlayerEntity(X:2, Y:20, Key:C) has a movement coverage of 1,78% for the map
15-02-2017 09:07:52:870 - I: 	Player PlayerEntity(X:20, Y:3, Key:D) has a movement coverage of 1,78% for the map
15-02-2017 09:07:52:870 - D: 	Round processing complete
