
19-02-2017 12:16:32:859 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:2, Y:2, Key:A)
19-02-2017 12:16:32:884 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:20, Y:19, Key:B)
19-02-2017 12:16:32:884 - D: 	Beginning round processing
19-02-2017 12:16:32:884 - D: 	Removing Bomb Explosions from map
19-02-2017 12:16:32:884 - D: 	Decreasing Bomb Timers
19-02-2017 12:16:32:884 - D: 	Detonating Bombs
19-02-2017 12:16:32:884 - D: 	Processing Player Commands
19-02-2017 12:16:32:888 - D: 	Applying player power ups
19-02-2017 12:16:32:888 - D: 	Destroying marked entities
19-02-2017 12:16:32:888 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 0,36% for the map
19-02-2017 12:16:32:888 - I: 	Player PlayerEntity(X:20, Y:19, Key:B) has a movement coverage of 0,71% for the map
19-02-2017 12:16:32:888 - D: 	Round processing complete
