
07-02-2017 11:48:19:920 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:6, Y:11, Key:A)
07-02-2017 11:48:20:102 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:14, Y:14, Key:B)
07-02-2017 11:48:20:102 - D: 	Beginning round processing
07-02-2017 11:48:20:102 - D: 	Removing Bomb Explosions from map
07-02-2017 11:48:20:102 - D: 	Decreasing Bomb Timers
07-02-2017 11:48:20:102 - D: 	Detonating Bombs
07-02-2017 11:48:20:102 - I: 	Detonating Bomb BombEntity(X:7, Y:10, Radius:1, Timer:0, Owner:A)
07-02-2017 11:48:20:102 - D: 	Processing Player Commands
07-02-2017 11:48:20:102 - D: 	Applying player power ups
07-02-2017 11:48:20:102 - D: 	Destroying marked entities
07-02-2017 11:48:20:102 - D: 	Destroyed Entity DestructibleWallEntity(X:8, Y:10)
07-02-2017 11:48:20:102 - I: 	Player PlayerEntity(X:6, Y:11, Key:A) has a movement coverage of 7,12% for the map
07-02-2017 11:48:20:102 - I: 	Player PlayerEntity(X:14, Y:14, Key:B) has a movement coverage of 6,76% for the map
07-02-2017 11:48:20:102 - D: 	Round processing complete
