
07-02-2017 11:48:26:141 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:7, Y:10, Key:A)
07-02-2017 11:48:26:327 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:14, Y:16, Key:B)
07-02-2017 11:48:26:327 - D: 	Beginning round processing
07-02-2017 11:48:26:327 - D: 	Removing Bomb Explosions from map
07-02-2017 11:48:26:327 - D: 	Decreasing Bomb Timers
07-02-2017 11:48:26:327 - D: 	Detonating Bombs
07-02-2017 11:48:26:327 - D: 	Processing Player Commands
07-02-2017 11:48:26:327 - D: 	Applying player power ups
07-02-2017 11:48:26:327 - D: 	Destroying marked entities
07-02-2017 11:48:26:327 - I: 	Player PlayerEntity(X:7, Y:10, Key:A) has a movement coverage of 7,12% for the map
07-02-2017 11:48:26:327 - I: 	Player PlayerEntity(X:14, Y:16, Key:B) has a movement coverage of 6,76% for the map
07-02-2017 11:48:26:327 - D: 	Round processing complete
