
19-02-2017 12:16:37:555 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:2, Y:2, Key:A)
19-02-2017 12:16:37:575 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:20, Key:B)
19-02-2017 12:16:37:575 - D: 	Beginning round processing
19-02-2017 12:16:37:575 - D: 	Removing Bomb Explosions from map
19-02-2017 12:16:37:576 - D: 	Decreasing Bomb Timers
19-02-2017 12:16:37:576 - D: 	Detonating Bombs
19-02-2017 12:16:37:576 - I: 	Detonating Bomb BombEntity(X:20, Y:18, Radius:1, Timer:0, Owner:B)
19-02-2017 12:16:37:576 - D: 	Processing Player Commands
19-02-2017 12:16:37:576 - D: 	Applying player power ups
19-02-2017 12:16:37:576 - D: 	Destroying marked entities
19-02-2017 12:16:37:576 - D: 	Destroyed Entity DestructibleWallEntity(X:20, Y:17)
19-02-2017 12:16:37:576 - D: 	Destroyed Entity DestructibleWallEntity(X:19, Y:18)
19-02-2017 12:16:37:576 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 0,36% for the map
19-02-2017 12:16:37:576 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 1,42% for the map
19-02-2017 12:16:37:576 - D: 	Round processing complete
