
15-02-2017 09:08:05:767 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:5, Key:A)
15-02-2017 09:08:05:952 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:17, Key:B)
15-02-2017 09:08:06:137 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:5, Y:18, Key:C)
15-02-2017 09:08:06:353 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:17, Y:4, Key:D)
15-02-2017 09:08:06:353 - D: 	Beginning round processing
15-02-2017 09:08:06:353 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:06:353 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:06:353 - D: 	Detonating Bombs
15-02-2017 09:08:06:353 - I: 	Detonating Bomb BombEntity(X:4, Y:17, Radius:1, Timer:0, Owner:C)
15-02-2017 09:08:06:353 - D: 	Processing Player Commands
15-02-2017 09:08:06:353 - I: 	Trying to move player A to destination Location(X:4,Y:4)
15-02-2017 09:08:06:353 - I: 	Trying to move player B to destination Location(X:16,Y:18)
15-02-2017 09:08:06:353 - I: 	Trying to move player C to destination Location(X:6,Y:18)
15-02-2017 09:08:06:353 - D: 	Applying player power ups
15-02-2017 09:08:06:353 - D: 	Destroying marked entities
15-02-2017 09:08:06:353 - D: 	Destroyed Entity DestructibleWallEntity(X:4, Y:16)
15-02-2017 09:08:06:353 - I: 	Player PlayerEntity(X:4, Y:4, Key:A) has a movement coverage of 3,20% for the map
15-02-2017 09:08:06:353 - I: 	Player PlayerEntity(X:16, Y:18, Key:B) has a movement coverage of 4,27% for the map
15-02-2017 09:08:06:353 - I: 	Player PlayerEntity(X:6, Y:18, Key:C) has a movement coverage of 3,20% for the map
15-02-2017 09:08:06:353 - I: 	Player PlayerEntity(X:17, Y:4, Key:D) has a movement coverage of 3,20% for the map
15-02-2017 09:08:06:353 - D: 	Round processing complete
