
15-02-2017 11:24:44:525 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:6, Y:8, Key:A)
15-02-2017 11:24:44:710 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:18, Y:17, Key:B)
15-02-2017 11:24:44:710 - D: 	Beginning round processing
15-02-2017 11:24:44:710 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:44:710 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:44:710 - D: 	Detonating Bombs
15-02-2017 11:24:44:710 - D: 	Processing Player Commands
15-02-2017 11:24:44:725 - D: 	Applying player power ups
15-02-2017 11:24:44:725 - D: 	Destroying marked entities
15-02-2017 11:24:44:725 - I: 	Player PlayerEntity(X:6, Y:8, Key:A) has a movement coverage of 6,05% for the map
15-02-2017 11:24:44:725 - I: 	Player PlayerEntity(X:18, Y:17, Key:B) has a movement coverage of 5,34% for the map
15-02-2017 11:24:44:725 - D: 	Round processing complete
