
19-02-2017 12:16:36:036 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:2, Y:2, Key:A)
19-02-2017 12:16:36:057 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:20, Y:19, Key:B)
19-02-2017 12:16:36:057 - D: 	Beginning round processing
19-02-2017 12:16:36:057 - D: 	Removing Bomb Explosions from map
19-02-2017 12:16:36:057 - D: 	Decreasing Bomb Timers
19-02-2017 12:16:36:057 - D: 	Detonating Bombs
19-02-2017 12:16:36:057 - D: 	Processing Player Commands
19-02-2017 12:16:36:057 - I: 	Trying to move player B to destination Location(X:20,Y:18)
19-02-2017 12:16:36:057 - D: 	Applying player power ups
19-02-2017 12:16:36:057 - D: 	Destroying marked entities
19-02-2017 12:16:36:057 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 0,36% for the map
19-02-2017 12:16:36:057 - I: 	Player PlayerEntity(X:20, Y:18, Key:B) has a movement coverage of 1,42% for the map
19-02-2017 12:16:36:057 - D: 	Round processing complete
