
15-02-2017 09:08:33:271 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:5, Key:A)
15-02-2017 09:08:33:456 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:15, Y:12, Key:B)
15-02-2017 09:08:33:641 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:7, Y:14, Key:C)
15-02-2017 09:08:33:841 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:16, Y:8, Key:D)
15-02-2017 09:08:33:841 - D: 	Beginning round processing
15-02-2017 09:08:33:841 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:33:841 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:33:841 - D: 	Detonating Bombs
15-02-2017 09:08:33:841 - I: 	Detonating Bomb BombEntity(X:2, Y:4, Radius:2, Timer:0, Owner:A)
15-02-2017 09:08:33:841 - D: 	Processing Player Commands
15-02-2017 09:08:33:841 - I: 	Trying to move player A to destination Location(X:4,Y:6)
15-02-2017 09:08:33:841 - I: 	Trying to move player B to destination Location(X:14,Y:12)
15-02-2017 09:08:33:841 - I: 	Trying to move player C to destination Location(X:8,Y:14)
15-02-2017 09:08:33:841 - I: 	Trying to move player D to destination Location(X:15,Y:8)
15-02-2017 09:08:33:841 - D: 	Applying player power ups
15-02-2017 09:08:33:841 - D: 	Destroying marked entities
15-02-2017 09:08:33:841 - D: 	Destroyed Entity DestructibleWallEntity(X:2, Y:5)
15-02-2017 09:08:33:841 - I: 	Player PlayerEntity(X:4, Y:6, Key:A) has a movement coverage of 5,34% for the map
15-02-2017 09:08:33:841 - I: 	Player PlayerEntity(X:14, Y:12, Key:B) has a movement coverage of 8,19% for the map
15-02-2017 09:08:33:841 - I: 	Player PlayerEntity(X:8, Y:14, Key:C) has a movement coverage of 7,12% for the map
15-02-2017 09:08:33:841 - I: 	Player PlayerEntity(X:15, Y:8, Key:D) has a movement coverage of 5,69% for the map
15-02-2017 09:08:33:841 - D: 	Round processing complete
