
15-02-2017 11:24:29:901 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:4, Y:11, Key:A)
15-02-2017 11:24:30:086 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:19, Key:B)
15-02-2017 11:24:30:086 - D: 	Beginning round processing
15-02-2017 11:24:30:086 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:30:086 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:30:086 - D: 	Detonating Bombs
15-02-2017 11:24:30:086 - I: 	Detonating Bomb BombEntity(X:16, Y:20, Radius:2, Timer:0, Owner:B)
15-02-2017 11:24:30:086 - D: 	Processing Player Commands
15-02-2017 11:24:30:086 - I: 	Trying to move player B to destination Location(X:18,Y:18)
15-02-2017 11:24:30:086 - D: 	Applying player power ups
15-02-2017 11:24:30:086 - D: 	Destroying marked entities
15-02-2017 11:24:30:086 - D: 	Destroyed Entity DestructibleWallEntity(X:16, Y:19)
15-02-2017 11:24:30:086 - D: 	Destroyed Entity DestructibleWallEntity(X:14, Y:20)
15-02-2017 11:24:30:086 - I: 	Player PlayerEntity(X:4, Y:11, Key:A) has a movement coverage of 4,98% for the map
15-02-2017 11:24:30:086 - I: 	Player PlayerEntity(X:18, Y:18, Key:B) has a movement coverage of 3,56% for the map
15-02-2017 11:24:30:086 - D: 	Round processing complete
