
15-02-2017 11:25:44:357 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:10, Y:8, Key:A)
15-02-2017 11:25:44:526 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:13, Y:14, Key:B)
15-02-2017 11:25:44:526 - D: 	Beginning round processing
15-02-2017 11:25:44:526 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:44:526 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:44:526 - D: 	Detonating Bombs
15-02-2017 11:25:44:526 - I: 	Detonating Bomb BombEntity(X:14, Y:9, Radius:2, Timer:0, Owner:A)
15-02-2017 11:25:44:526 - D: 	Processing Player Commands
15-02-2017 11:25:44:526 - I: 	Trying to move player A to destination Location(X:10,Y:9)
15-02-2017 11:25:44:526 - I: 	Trying to move player B to destination Location(X:14,Y:14)
15-02-2017 11:25:44:526 - D: 	Applying player power ups
15-02-2017 11:25:44:526 - D: 	Destroying marked entities
15-02-2017 11:25:44:526 - I: 	Player PlayerEntity(X:10, Y:9, Key:A) has a movement coverage of 11,39% for the map
15-02-2017 11:25:44:526 - I: 	Player PlayerEntity(X:14, Y:14, Key:B) has a movement coverage of 11,74% for the map
15-02-2017 11:25:44:526 - D: 	Round processing complete
