
15-02-2017 11:25:07:054 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:10, Y:9, Key:A)
15-02-2017 11:25:07:302 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:12, Key:B)
15-02-2017 11:25:07:302 - D: 	Beginning round processing
15-02-2017 11:25:07:302 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:07:302 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:07:302 - D: 	Detonating Bombs
15-02-2017 11:25:07:302 - D: 	Processing Player Commands
15-02-2017 11:25:07:302 - I: 	Trying to move player A to destination Location(X:10,Y:8)
15-02-2017 11:25:07:302 - I: 	Trying to move player B to destination Location(X:16,Y:13)
15-02-2017 11:25:07:302 - D: 	Applying player power ups
15-02-2017 11:25:07:302 - D: 	Destroying marked entities
15-02-2017 11:25:07:302 - I: 	Player PlayerEntity(X:10, Y:8, Key:A) has a movement coverage of 8,19% for the map
15-02-2017 11:25:07:302 - I: 	Player PlayerEntity(X:16, Y:13, Key:B) has a movement coverage of 8,90% for the map
15-02-2017 11:25:07:302 - D: 	Round processing complete
