
07-02-2017 11:48:12:185 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:4, Y:11, Key:A)
07-02-2017 11:48:12:368 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:14, Y:16, Key:B)
07-02-2017 11:48:12:368 - D: 	Beginning round processing
07-02-2017 11:48:12:368 - D: 	Removing Bomb Explosions from map
07-02-2017 11:48:12:368 - D: 	Decreasing Bomb Timers
07-02-2017 11:48:12:368 - D: 	Detonating Bombs
07-02-2017 11:48:12:368 - D: 	Processing Player Commands
07-02-2017 11:48:12:368 - I: 	Trying to move player B to destination Location(X:14,Y:15)
07-02-2017 11:48:12:368 - D: 	Applying player power ups
07-02-2017 11:48:12:368 - D: 	Destroying marked entities
07-02-2017 11:48:12:369 - I: 	Player PlayerEntity(X:4, Y:11, Key:A) has a movement coverage of 6,41% for the map
07-02-2017 11:48:12:369 - I: 	Player PlayerEntity(X:14, Y:15, Key:B) has a movement coverage of 6,05% for the map
07-02-2017 11:48:12:369 - D: 	Round processing complete
