
15-02-2017 11:24:50:171 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:9, Key:A)
15-02-2017 11:24:50:356 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:17, Y:14, Key:B)
15-02-2017 11:24:50:356 - D: 	Beginning round processing
15-02-2017 11:24:50:356 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:50:356 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:50:356 - D: 	Detonating Bombs
15-02-2017 11:24:50:356 - D: 	Processing Player Commands
15-02-2017 11:24:50:356 - I: 	Trying to move player A to destination Location(X:4,Y:8)
15-02-2017 11:24:50:356 - D: 	Applying player power ups
15-02-2017 11:24:50:356 - D: 	Destroying marked entities
15-02-2017 11:24:50:356 - I: 	Player PlayerEntity(X:4, Y:8, Key:A) has a movement coverage of 6,05% for the map
15-02-2017 11:24:50:356 - I: 	Player PlayerEntity(X:17, Y:14, Key:B) has a movement coverage of 5,69% for the map
15-02-2017 11:24:50:356 - D: 	Round processing complete
