
15-02-2017 11:25:36:662 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:14, Y:8, Key:A)
15-02-2017 11:25:36:841 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:14, Y:12, Key:B)
15-02-2017 11:25:36:841 - D: 	Beginning round processing
15-02-2017 11:25:36:841 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:36:841 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:36:841 - D: 	Detonating Bombs
15-02-2017 11:25:36:841 - D: 	Processing Player Commands
15-02-2017 11:25:36:841 - I: 	Trying to move player A to destination Location(X:14,Y:9)
15-02-2017 11:25:36:841 - I: 	Trying to move player B to destination Location(X:14,Y:13)
15-02-2017 11:25:36:841 - D: 	Applying player power ups
15-02-2017 11:25:36:841 - D: 	Destroying marked entities
15-02-2017 11:25:36:841 - I: 	Player PlayerEntity(X:14, Y:9, Key:A) has a movement coverage of 11,39% for the map
15-02-2017 11:25:36:841 - I: 	Player PlayerEntity(X:14, Y:13, Key:B) has a movement coverage of 10,68% for the map
15-02-2017 11:25:36:841 - D: 	Round processing complete
