
15-02-2017 11:25:09:592 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:11, Y:8, Key:A)
15-02-2017 11:25:09:792 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:17, Y:14, Key:B)
15-02-2017 11:25:09:792 - D: 	Beginning round processing
15-02-2017 11:25:09:792 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:09:792 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:09:792 - D: 	Detonating Bombs
15-02-2017 11:25:09:792 - I: 	Detonating Bomb BombEntity(X:10, Y:9, Radius:1, Timer:0, Owner:A)
15-02-2017 11:25:09:792 - D: 	Processing Player Commands
15-02-2017 11:25:09:792 - D: 	Applying player power ups
15-02-2017 11:25:09:792 - D: 	Destroying marked entities
15-02-2017 11:25:09:792 - D: 	Destroyed Entity DestructibleWallEntity(X:10, Y:10)
15-02-2017 11:25:09:792 - I: 	Player PlayerEntity(X:11, Y:8, Key:A) has a movement coverage of 8,54% for the map
15-02-2017 11:25:09:792 - I: 	Player PlayerEntity(X:17, Y:14, Key:B) has a movement coverage of 8,90% for the map
15-02-2017 11:25:09:792 - D: 	Round processing complete
