
19-02-2017 11:48:18:830 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:4, Key:A)
19-02-2017 11:48:18:851 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:20, Key:B)
19-02-2017 11:48:18:851 - D: 	Beginning round processing
19-02-2017 11:48:18:851 - D: 	Removing Bomb Explosions from map
19-02-2017 11:48:18:851 - D: 	Decreasing Bomb Timers
19-02-2017 11:48:18:851 - D: 	Detonating Bombs
19-02-2017 11:48:18:851 - D: 	Processing Player Commands
19-02-2017 11:48:18:851 - I: 	Trying to move player A to destination Location(X:2,Y:3)
19-02-2017 11:48:18:851 - D: 	Applying player power ups
19-02-2017 11:48:18:851 - D: 	Destroying marked entities
19-02-2017 11:48:18:851 - I: 	Player PlayerEntity(X:2, Y:3, Key:A) has a movement coverage of 1,07% for the map
19-02-2017 11:48:18:851 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 0,36% for the map
19-02-2017 11:48:18:851 - D: 	Round processing complete
