
15-02-2017 11:24:56:909 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:10, Y:8, Key:A)
15-02-2017 11:24:57:094 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:16, Y:16, Key:B)
15-02-2017 11:24:57:094 - D: 	Beginning round processing
15-02-2017 11:24:57:094 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:57:094 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:57:094 - D: 	Detonating Bombs
15-02-2017 11:24:57:094 - D: 	Processing Player Commands
15-02-2017 11:24:57:094 - D: 	Applying player power ups
15-02-2017 11:24:57:094 - D: 	Destroying marked entities
15-02-2017 11:24:57:094 - I: 	Player PlayerEntity(X:10, Y:8, Key:A) has a movement coverage of 7,47% for the map
15-02-2017 11:24:57:094 - I: 	Player PlayerEntity(X:16, Y:16, Key:B) has a movement coverage of 7,12% for the map
15-02-2017 11:24:57:094 - D: 	Round processing complete
