
19-02-2017 12:05:18:293 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:3, Key:A)
19-02-2017 12:05:18:317 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:19, Y:20, Key:B)
19-02-2017 12:05:18:317 - D: 	Beginning round processing
19-02-2017 12:05:18:317 - D: 	Removing Bomb Explosions from map
19-02-2017 12:05:18:317 - D: 	Decreasing Bomb Timers
19-02-2017 12:05:18:317 - D: 	Detonating Bombs
19-02-2017 12:05:18:317 - D: 	Processing Player Commands
19-02-2017 12:05:18:320 - I: 	Trying to move player A to destination Location(X:2,Y:2)
19-02-2017 12:05:18:320 - D: 	Applying player power ups
19-02-2017 12:05:18:320 - D: 	Destroying marked entities
19-02-2017 12:05:18:320 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 0,71% for the map
19-02-2017 12:05:18:320 - I: 	Player PlayerEntity(X:19, Y:20, Key:B) has a movement coverage of 0,71% for the map
19-02-2017 12:05:18:320 - D: 	Round processing complete
