
15-02-2017 09:08:45:166 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:8, Y:10, Key:A)
15-02-2017 09:08:45:483 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:11, Key:B)
15-02-2017 09:08:45:799 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:9, Y:14, Key:C)
15-02-2017 09:08:46:079 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:14, Y:8, Key:D)
15-02-2017 09:08:46:079 - D: 	Beginning round processing
15-02-2017 09:08:46:079 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:46:079 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:46:079 - D: 	Detonating Bombs
15-02-2017 09:08:46:079 - I: 	Detonating Bomb BombEntity(X:17, Y:10, Radius:4, Timer:0, Owner:B)
15-02-2017 09:08:46:079 - I: 	Detonating Bomb BombEntity(X:10, Y:16, Radius:2, Timer:0, Owner:C)
15-02-2017 09:08:46:079 - D: 	Processing Player Commands
15-02-2017 09:08:46:079 - I: 	Trying to move player A to destination Location(X:8,Y:11)
15-02-2017 09:08:46:079 - I: 	Trying to move player B to destination Location(X:16,Y:12)
15-02-2017 09:08:46:079 - I: 	Trying to move player C to destination Location(X:8,Y:14)
15-02-2017 09:08:46:079 - I: 	Trying to move player D to destination Location(X:13,Y:8)
15-02-2017 09:08:46:079 - D: 	Applying player power ups
15-02-2017 09:08:46:079 - D: 	Destroying marked entities
15-02-2017 09:08:46:079 - D: 	Destroyed Entity DestructibleWallEntity(X:13, Y:10)
15-02-2017 09:08:46:079 - D: 	Destroyed Entity DestructibleWallEntity(X:18, Y:10)
15-02-2017 09:08:46:079 - D: 	Destroyed Entity DestructibleWallEntity(X:9, Y:16)
15-02-2017 09:08:46:079 - D: 	Destroyed Entity DestructibleWallEntity(X:10, Y:17)
15-02-2017 09:08:46:080 - I: 	Player PlayerEntity(X:8, Y:11, Key:A) has a movement coverage of 7,83% for the map
15-02-2017 09:08:46:080 - I: 	Player PlayerEntity(X:16, Y:12, Key:B) has a movement coverage of 10,32% for the map
15-02-2017 09:08:46:080 - I: 	Player PlayerEntity(X:8, Y:14, Key:C) has a movement coverage of 8,54% for the map
15-02-2017 09:08:46:080 - I: 	Player PlayerEntity(X:13, Y:8, Key:D) has a movement coverage of 7,12% for the map
15-02-2017 09:08:46:080 - D: 	Round processing complete
