
15-02-2017 09:08:25:038 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:5, Key:A)
15-02-2017 09:08:25:223 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:15, Y:16, Key:B)
15-02-2017 09:08:25:408 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:4, Y:16, Key:C)
15-02-2017 09:08:25:608 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:18, Y:5, Key:D)
15-02-2017 09:08:25:608 - D: 	Beginning round processing
15-02-2017 09:08:25:608 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:25:608 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:25:608 - D: 	Detonating Bombs
15-02-2017 09:08:25:608 - I: 	Detonating Bomb BombEntity(X:6, Y:6, Radius:2, Timer:0, Owner:A)
15-02-2017 09:08:25:608 - D: 	Processing Player Commands
15-02-2017 09:08:25:608 - I: 	Trying to move player A to destination Location(X:4,Y:4)
15-02-2017 09:08:25:608 - D: 	Applying player power ups
15-02-2017 09:08:25:608 - D: 	Destroying marked entities
15-02-2017 09:08:25:608 - D: 	Destroyed Entity DestructibleWallEntity(X:7, Y:6)
15-02-2017 09:08:25:608 - D: 	Destroyed Entity DestructibleWallEntity(X:6, Y:7)
15-02-2017 09:08:25:608 - I: 	Player PlayerEntity(X:4, Y:4, Key:A) has a movement coverage of 5,34% for the map
15-02-2017 09:08:25:608 - I: 	Player PlayerEntity(X:15, Y:16, Key:B) has a movement coverage of 6,05% for the map
15-02-2017 09:08:25:608 - I: 	Player PlayerEntity(X:4, Y:16, Key:C) has a movement coverage of 4,63% for the map
15-02-2017 09:08:25:608 - I: 	Player PlayerEntity(X:18, Y:5, Key:D) has a movement coverage of 4,63% for the map
15-02-2017 09:08:25:608 - D: 	Round processing complete
