
18-02-2017 11:08:41:513 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:5, Key:A)
18-02-2017 11:08:41:705 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:20, Key:B)
18-02-2017 11:08:41:705 - D: 	Beginning round processing
18-02-2017 11:08:41:705 - D: 	Removing Bomb Explosions from map
18-02-2017 11:08:41:705 - D: 	Decreasing Bomb Timers
18-02-2017 11:08:41:705 - D: 	Detonating Bombs
18-02-2017 11:08:41:705 - D: 	Processing Player Commands
18-02-2017 11:08:41:705 - I: 	Trying to move player A to destination Location(X:2,Y:6)
18-02-2017 11:08:41:705 - D: 	Applying player power ups
18-02-2017 11:08:41:705 - D: 	Destroying marked entities
18-02-2017 11:08:41:705 - I: 	Player PlayerEntity(X:2, Y:6, Key:A) has a movement coverage of 2,14% for the map
18-02-2017 11:08:41:705 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 0,36% for the map
18-02-2017 11:08:41:705 - D: 	Round processing complete
