
15-02-2017 11:24:28:801 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:12, Key:A)
15-02-2017 11:24:29:102 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:20, Key:B)
15-02-2017 11:24:29:102 - D: 	Beginning round processing
15-02-2017 11:24:29:102 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:29:102 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:29:102 - D: 	Detonating Bombs
15-02-2017 11:24:29:102 - D: 	Processing Player Commands
15-02-2017 11:24:29:102 - I: 	Trying to move player A to destination Location(X:4,Y:11)
15-02-2017 11:24:29:102 - I: 	Trying to move player B to destination Location(X:18,Y:19)
15-02-2017 11:24:29:102 - D: 	Applying player power ups
15-02-2017 11:24:29:102 - D: 	Destroying marked entities
15-02-2017 11:24:29:102 - I: 	Player PlayerEntity(X:4, Y:11, Key:A) has a movement coverage of 4,98% for the map
15-02-2017 11:24:29:102 - I: 	Player PlayerEntity(X:18, Y:19, Key:B) has a movement coverage of 3,56% for the map
15-02-2017 11:24:29:102 - D: 	Round processing complete
