
15-02-2017 11:24:30:670 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:4, Y:11, Key:A)
15-02-2017 11:24:30:855 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:18, Y:18, Key:B)
15-02-2017 11:24:30:855 - D: 	Beginning round processing
15-02-2017 11:24:30:855 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:30:855 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:30:855 - D: 	Detonating Bombs
15-02-2017 11:24:30:855 - I: 	Detonating Bomb BombEntity(X:5, Y:12, Radius:1, Timer:0, Owner:A)
15-02-2017 11:24:30:855 - D: 	Processing Player Commands
15-02-2017 11:24:30:855 - D: 	Applying player power ups
15-02-2017 11:24:30:855 - D: 	Destroying marked entities
15-02-2017 11:24:30:855 - D: 	Destroyed Entity DestructibleWallEntity(X:6, Y:12)
15-02-2017 11:24:30:855 - I: 	Player PlayerEntity(X:4, Y:11, Key:A) has a movement coverage of 4,98% for the map
15-02-2017 11:24:30:855 - I: 	Player PlayerEntity(X:18, Y:18, Key:B) has a movement coverage of 3,56% for the map
15-02-2017 11:24:30:855 - D: 	Round processing complete
