
18-02-2017 11:08:33:822 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:2, Y:4, Key:A)
18-02-2017 11:08:34:022 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:20, Key:B)
18-02-2017 11:08:34:022 - D: 	Beginning round processing
18-02-2017 11:08:34:022 - D: 	Removing Bomb Explosions from map
18-02-2017 11:08:34:022 - D: 	Decreasing Bomb Timers
18-02-2017 11:08:34:022 - D: 	Detonating Bombs
18-02-2017 11:08:34:022 - D: 	Processing Player Commands
18-02-2017 11:08:34:022 - D: 	Applying player power ups
18-02-2017 11:08:34:022 - D: 	Destroying marked entities
18-02-2017 11:08:34:022 - I: 	Player PlayerEntity(X:2, Y:4, Key:A) has a movement coverage of 1,07% for the map
18-02-2017 11:08:34:022 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 0,36% for the map
18-02-2017 11:08:34:022 - D: 	Round processing complete
