
07-02-2017 11:48:14:821 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:6, Y:10, Key:A)
07-02-2017 11:48:15:013 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:15, Y:16, Key:B)
07-02-2017 11:48:15:013 - D: 	Beginning round processing
07-02-2017 11:48:15:013 - D: 	Removing Bomb Explosions from map
07-02-2017 11:48:15:013 - D: 	Decreasing Bomb Timers
07-02-2017 11:48:15:013 - D: 	Detonating Bombs
07-02-2017 11:48:15:013 - D: 	Processing Player Commands
07-02-2017 11:48:15:013 - I: 	Trying to move player A to destination Location(X:7,Y:10)
07-02-2017 11:48:15:013 - I: 	Trying to move player B to destination Location(X:16,Y:16)
07-02-2017 11:48:15:013 - D: 	Applying player power ups
07-02-2017 11:48:15:013 - D: 	Destroying marked entities
07-02-2017 11:48:15:013 - I: 	Player PlayerEntity(X:7, Y:10, Key:A) has a movement coverage of 6,76% for the map
07-02-2017 11:48:15:013 - I: 	Player PlayerEntity(X:16, Y:16, Key:B) has a movement coverage of 6,05% for the map
07-02-2017 11:48:15:013 - D: 	Round processing complete
