
15-02-2017 09:08:10:527 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:6, Y:5, Key:A)
15-02-2017 09:08:10:712 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:17, Key:B)
15-02-2017 09:08:10:912 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:5, Y:18, Key:C)
15-02-2017 09:08:11:113 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:18, Y:4, Key:D)
15-02-2017 09:08:11:113 - D: 	Beginning round processing
15-02-2017 09:08:11:113 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:11:113 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:11:113 - D: 	Detonating Bombs
15-02-2017 09:08:11:113 - D: 	Processing Player Commands
15-02-2017 09:08:11:113 - I: 	Trying to move player B to destination Location(X:18,Y:16)
15-02-2017 09:08:11:113 - I: 	Trying to move player D to destination Location(X:17,Y:4)
15-02-2017 09:08:11:113 - D: 	Applying player power ups
15-02-2017 09:08:11:113 - D: 	Destroying marked entities
15-02-2017 09:08:11:113 - I: 	Player PlayerEntity(X:6, Y:5, Key:A) has a movement coverage of 4,27% for the map
15-02-2017 09:08:11:113 - I: 	Player PlayerEntity(X:18, Y:16, Key:B) has a movement coverage of 4,63% for the map
15-02-2017 09:08:11:113 - I: 	Player PlayerEntity(X:5, Y:18, Key:C) has a movement coverage of 3,56% for the map
15-02-2017 09:08:11:113 - I: 	Player PlayerEntity(X:17, Y:4, Key:D) has a movement coverage of 3,56% for the map
15-02-2017 09:08:11:113 - D: 	Round processing complete
