
15-02-2017 11:25:20:766 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:11, Y:8, Key:A)
15-02-2017 11:25:20:948 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:15, Y:12, Key:B)
15-02-2017 11:25:20:948 - D: 	Beginning round processing
15-02-2017 11:25:20:948 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:20:948 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:20:948 - D: 	Detonating Bombs
15-02-2017 11:25:20:948 - D: 	Processing Player Commands
15-02-2017 11:25:20:948 - D: 	Applying player power ups
15-02-2017 11:25:20:948 - D: 	Destroying marked entities
15-02-2017 11:25:20:948 - I: 	Player PlayerEntity(X:11, Y:8, Key:A) has a movement coverage of 8,90% for the map
15-02-2017 11:25:20:948 - I: 	Player PlayerEntity(X:15, Y:12, Key:B) has a movement coverage of 9,25% for the map
15-02-2017 11:25:20:948 - D: 	Round processing complete
