
15-02-2017 11:25:04:850 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:10, Y:8, Key:A)
15-02-2017 11:25:05:029 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:17, Y:12, Key:B)
15-02-2017 11:25:05:029 - D: 	Beginning round processing
15-02-2017 11:25:05:029 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:05:029 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:05:029 - D: 	Detonating Bombs
15-02-2017 11:25:05:029 - D: 	Processing Player Commands
15-02-2017 11:25:05:029 - I: 	Trying to move player A to destination Location(X:10,Y:9)
15-02-2017 11:25:05:029 - I: 	Trying to move player B to destination Location(X:16,Y:12)
15-02-2017 11:25:05:029 - D: 	Applying player power ups
15-02-2017 11:25:05:029 - D: 	Destroying marked entities
15-02-2017 11:25:05:029 - I: 	Player PlayerEntity(X:10, Y:9, Key:A) has a movement coverage of 8,19% for the map
15-02-2017 11:25:05:029 - I: 	Player PlayerEntity(X:16, Y:12, Key:B) has a movement coverage of 8,54% for the map
15-02-2017 11:25:05:029 - D: 	Round processing complete
