
15-02-2017 09:08:11:466 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:6, Y:5, Key:A)
15-02-2017 09:08:11:666 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:18, Y:16, Key:B)
15-02-2017 09:08:11:845 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:5, Y:18, Key:C)
15-02-2017 09:08:12:045 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:17, Y:4, Key:D)
15-02-2017 09:08:12:045 - D: 	Beginning round processing
15-02-2017 09:08:12:045 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:12:045 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:12:045 - D: 	Detonating Bombs
15-02-2017 09:08:12:045 - I: 	Detonating Bomb BombEntity(X:6, Y:17, Radius:1, Timer:0, Owner:C)
15-02-2017 09:08:12:045 - D: 	Processing Player Commands
15-02-2017 09:08:12:045 - I: 	Trying to move player A to destination Location(X:6,Y:4)
15-02-2017 09:08:12:045 - I: 	Trying to move player B to destination Location(X:17,Y:16)
15-02-2017 09:08:12:045 - I: 	Trying to move player C to destination Location(X:4,Y:18)
15-02-2017 09:08:12:045 - D: 	Applying player power ups
15-02-2017 09:08:12:045 - D: 	Destroying marked entities
15-02-2017 09:08:12:045 - D: 	Destroyed Entity DestructibleWallEntity(X:6, Y:16)
15-02-2017 09:08:12:045 - I: 	Player PlayerEntity(X:6, Y:4, Key:A) has a movement coverage of 4,27% for the map
15-02-2017 09:08:12:045 - I: 	Player PlayerEntity(X:17, Y:16, Key:B) has a movement coverage of 4,98% for the map
15-02-2017 09:08:12:045 - I: 	Player PlayerEntity(X:4, Y:18, Key:C) has a movement coverage of 3,56% for the map
15-02-2017 09:08:12:045 - I: 	Player PlayerEntity(X:17, Y:4, Key:D) has a movement coverage of 3,56% for the map
15-02-2017 09:08:12:045 - D: 	Round processing complete
