
15-02-2017 11:25:05:793 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:10, Y:9, Key:A)
15-02-2017 11:25:05:978 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:16, Y:12, Key:B)
15-02-2017 11:25:05:978 - D: 	Beginning round processing
15-02-2017 11:25:05:978 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:05:978 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:05:978 - D: 	Detonating Bombs
15-02-2017 11:25:05:978 - D: 	Processing Player Commands
15-02-2017 11:25:05:978 - D: 	Applying player power ups
15-02-2017 11:25:05:978 - D: 	Destroying marked entities
15-02-2017 11:25:05:978 - I: 	Player PlayerEntity(X:10, Y:9, Key:A) has a movement coverage of 8,19% for the map
15-02-2017 11:25:05:978 - I: 	Player PlayerEntity(X:16, Y:12, Key:B) has a movement coverage of 8,54% for the map
15-02-2017 11:25:05:978 - D: 	Round processing complete
