
15-02-2017 11:24:37:083 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:6, Y:12, Key:A)
15-02-2017 11:24:37:253 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:18, Y:14, Key:B)
15-02-2017 11:24:37:253 - D: 	Beginning round processing
15-02-2017 11:24:37:253 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:37:253 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:37:253 - D: 	Detonating Bombs
15-02-2017 11:24:37:253 - D: 	Processing Player Commands
15-02-2017 11:24:37:253 - I: 	Trying to move player A to destination Location(X:5,Y:12)
15-02-2017 11:24:37:253 - I: 	Trying to move player B to destination Location(X:18,Y:15)
15-02-2017 11:24:37:253 - D: 	Applying player power ups
15-02-2017 11:24:37:253 - D: 	Destroying marked entities
15-02-2017 11:24:37:253 - I: 	Player PlayerEntity(X:5, Y:12, Key:A) has a movement coverage of 5,34% for the map
15-02-2017 11:24:37:253 - I: 	Player PlayerEntity(X:18, Y:15, Key:B) has a movement coverage of 4,98% for the map
15-02-2017 11:24:37:253 - D: 	Round processing complete
