
15-02-2017 11:25:37:279 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:14, Y:9, Key:A)
15-02-2017 11:25:37:476 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:14, Y:13, Key:B)
15-02-2017 11:25:37:476 - D: 	Beginning round processing
15-02-2017 11:25:37:476 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:37:476 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:37:476 - D: 	Detonating Bombs
15-02-2017 11:25:37:476 - D: 	Processing Player Commands
15-02-2017 11:25:37:476 - I: 	Trying to move player B to destination Location(X:14,Y:14)
15-02-2017 11:25:37:476 - D: 	Applying player power ups
15-02-2017 11:25:37:476 - D: 	Destroying marked entities
15-02-2017 11:25:37:476 - I: 	Player PlayerEntity(X:14, Y:9, Key:A) has a movement coverage of 11,39% for the map
15-02-2017 11:25:37:476 - I: 	Player PlayerEntity(X:14, Y:14, Key:B) has a movement coverage of 11,03% for the map
15-02-2017 11:25:37:476 - D: 	Round processing complete
