
15-02-2017 11:24:15:209 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:4, Key:A)
15-02-2017 11:24:15:494 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:19, Y:20, Key:B)
15-02-2017 11:24:15:494 - D: 	Beginning round processing
15-02-2017 11:24:15:494 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:15:494 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:15:494 - D: 	Detonating Bombs
15-02-2017 11:24:15:494 - D: 	Processing Player Commands
15-02-2017 11:24:15:494 - I: 	Trying to move player A to destination Location(X:4,Y:5)
15-02-2017 11:24:15:494 - I: 	Trying to move player B to destination Location(X:20,Y:20)
15-02-2017 11:24:15:494 - D: 	Applying player power ups
15-02-2017 11:24:15:494 - D: 	Destroying marked entities
15-02-2017 11:24:15:494 - I: 	Player PlayerEntity(X:4, Y:5, Key:A) has a movement coverage of 2,14% for the map
15-02-2017 11:24:15:494 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 1,07% for the map
15-02-2017 11:24:15:494 - D: 	Round processing complete
