
07-02-2017 11:48:16:753 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:6, Y:10, Key:A)
07-02-2017 11:48:16:941 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:16, Y:14, Key:B)
07-02-2017 11:48:16:941 - D: 	Beginning round processing
07-02-2017 11:48:16:941 - D: 	Removing Bomb Explosions from map
07-02-2017 11:48:16:941 - D: 	Decreasing Bomb Timers
07-02-2017 11:48:16:941 - D: 	Detonating Bombs
07-02-2017 11:48:16:941 - D: 	Processing Player Commands
07-02-2017 11:48:16:941 - I: 	Trying to move player A to destination Location(X:6,Y:11)
07-02-2017 11:48:16:941 - I: 	Trying to move player B to destination Location(X:15,Y:14)
07-02-2017 11:48:16:941 - D: 	Applying player power ups
07-02-2017 11:48:16:941 - D: 	Destroying marked entities
07-02-2017 11:48:16:941 - I: 	Player PlayerEntity(X:6, Y:11, Key:A) has a movement coverage of 7,12% for the map
07-02-2017 11:48:16:941 - I: 	Player PlayerEntity(X:15, Y:14, Key:B) has a movement coverage of 6,41% for the map
07-02-2017 11:48:16:941 - D: 	Round processing complete
