
15-02-2017 11:25:02:597 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:8, Y:9, Key:A)
15-02-2017 11:25:02:782 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:18, Y:14, Key:B)
15-02-2017 11:25:02:782 - D: 	Beginning round processing
15-02-2017 11:25:02:782 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:02:782 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:02:782 - D: 	Detonating Bombs
15-02-2017 11:25:02:782 - D: 	Processing Player Commands
15-02-2017 11:25:02:782 - I: 	Trying to move player A to destination Location(X:8,Y:8)
15-02-2017 11:25:02:782 - I: 	Trying to move player B to destination Location(X:18,Y:13)
15-02-2017 11:25:02:782 - D: 	Applying player power ups
15-02-2017 11:25:02:782 - D: 	Destroying marked entities
15-02-2017 11:25:02:782 - I: 	Player PlayerEntity(X:8, Y:8, Key:A) has a movement coverage of 7,83% for the map
15-02-2017 11:25:02:782 - I: 	Player PlayerEntity(X:18, Y:13, Key:B) has a movement coverage of 7,47% for the map
15-02-2017 11:25:02:782 - D: 	Round processing complete
