
15-02-2017 11:24:19:432 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:10, Key:A)
15-02-2017 11:24:19:632 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:19, Y:18, Key:B)
15-02-2017 11:24:19:632 - D: 	Beginning round processing
15-02-2017 11:24:19:632 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:19:632 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:19:632 - D: 	Detonating Bombs
15-02-2017 11:24:19:632 - D: 	Processing Player Commands
15-02-2017 11:24:19:632 - I: 	Trying to move player A to destination Location(X:4,Y:11)
15-02-2017 11:24:19:632 - I: 	Trying to move player B to destination Location(X:18,Y:18)
15-02-2017 11:24:19:632 - D: 	Applying player power ups
15-02-2017 11:24:19:632 - D: 	Destroying marked entities
15-02-2017 11:24:19:632 - I: 	Player PlayerEntity(X:4, Y:11, Key:A) has a movement coverage of 4,27% for the map
15-02-2017 11:24:19:632 - I: 	Player PlayerEntity(X:18, Y:18, Key:B) has a movement coverage of 2,49% for the map
15-02-2017 11:24:19:632 - D: 	Round processing complete
