
15-02-2017 11:25:46:461 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:10, Y:9, Key:A)
15-02-2017 11:25:46:631 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:14, Y:13, Key:B)
15-02-2017 11:25:46:631 - D: 	Beginning round processing
15-02-2017 11:25:46:631 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:46:631 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:46:631 - D: 	Detonating Bombs
15-02-2017 11:25:46:631 - D: 	Processing Player Commands
15-02-2017 11:25:46:631 - D: 	Applying player power ups
15-02-2017 11:25:46:631 - D: 	Destroying marked entities
15-02-2017 11:25:46:631 - I: 	Player PlayerEntity(X:10, Y:9, Key:A) has a movement coverage of 11,39% for the map
15-02-2017 11:25:46:631 - I: 	Player PlayerEntity(X:14, Y:13, Key:B) has a movement coverage of 11,74% for the map
15-02-2017 11:25:46:631 - D: 	Round processing complete
