
15-02-2017 09:04:17:045 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:3, Y:2, Key:A)
15-02-2017 09:04:17:230 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:19, Key:B)
15-02-2017 09:04:17:446 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:3, Y:20, Key:C)
15-02-2017 09:04:17:643 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:3, Key:D)
15-02-2017 09:04:17:643 - D: 	Beginning round processing
15-02-2017 09:04:17:643 - D: 	Removing Bomb Explosions from map
15-02-2017 09:04:17:643 - D: 	Decreasing Bomb Timers
15-02-2017 09:04:17:643 - D: 	Detonating Bombs
15-02-2017 09:04:17:645 - I: 	Detonating Bomb BombEntity(X:19, Y:2, Radius:1, Timer:0, Owner:D)
15-02-2017 09:04:17:649 - I: 	Detonating Bomb BombEntity(X:2, Y:3, Radius:1, Timer:0, Owner:A)
15-02-2017 09:04:17:651 - I: 	Detonating Bomb BombEntity(X:2, Y:19, Radius:1, Timer:0, Owner:C)
15-02-2017 09:04:17:651 - I: 	Detonating Bomb BombEntity(X:19, Y:20, Radius:1, Timer:0, Owner:B)
15-02-2017 09:04:17:651 - D: 	Processing Player Commands
15-02-2017 09:04:17:651 - D: 	Applying player power ups
15-02-2017 09:04:17:651 - D: 	Destroying marked entities
15-02-2017 09:04:17:651 - D: 	Destroyed Entity DestructibleWallEntity(X:18, Y:2)
15-02-2017 09:04:17:651 - D: 	Destroyed Entity DestructibleWallEntity(X:2, Y:4)
15-02-2017 09:04:17:651 - D: 	Destroyed Entity DestructibleWallEntity(X:2, Y:18)
15-02-2017 09:04:17:651 - D: 	Destroyed Entity DestructibleWallEntity(X:18, Y:20)
15-02-2017 09:04:17:698 - I: 	Player PlayerEntity(X:3, Y:2, Key:A) has a movement coverage of 1,07% for the map
15-02-2017 09:04:17:698 - I: 	Player PlayerEntity(X:20, Y:19, Key:B) has a movement coverage of 1,07% for the map
15-02-2017 09:04:17:698 - I: 	Player PlayerEntity(X:3, Y:20, Key:C) has a movement coverage of 1,07% for the map
15-02-2017 09:04:17:698 - I: 	Player PlayerEntity(X:20, Y:3, Key:D) has a movement coverage of 1,07% for the map
15-02-2017 09:04:17:698 - D: 	Round processing complete
