
15-02-2017 11:25:01:727 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:8, Y:9, Key:A)
15-02-2017 11:25:01:981 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:17, Y:14, Key:B)
15-02-2017 11:25:01:981 - D: 	Beginning round processing
15-02-2017 11:25:01:981 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:01:981 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:01:981 - D: 	Detonating Bombs
15-02-2017 11:25:01:981 - I: 	Detonating Bomb BombEntity(X:16, Y:16, Radius:4, Timer:0, Owner:B)
15-02-2017 11:25:01:981 - D: 	Processing Player Commands
15-02-2017 11:25:01:981 - I: 	Trying to move player B to destination Location(X:18,Y:14)
15-02-2017 11:25:01:981 - D: 	Applying player power ups
15-02-2017 11:25:01:981 - D: 	Destroying marked entities
15-02-2017 11:25:01:981 - D: 	Destroyed Entity DestructibleWallEntity(X:16, Y:12)
15-02-2017 11:25:01:981 - D: 	Destroyed Entity DestructibleWallEntity(X:15, Y:16)
15-02-2017 11:25:01:981 - I: 	Player PlayerEntity(X:8, Y:9, Key:A) has a movement coverage of 7,83% for the map
15-02-2017 11:25:01:981 - I: 	Player PlayerEntity(X:18, Y:14, Key:B) has a movement coverage of 7,12% for the map
15-02-2017 11:25:01:981 - D: 	Round processing complete
