
15-02-2017 11:24:49:040 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:4, Y:9, Key:A)
15-02-2017 11:24:49:327 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:18, Y:14, Key:B)
15-02-2017 11:24:49:327 - D: 	Beginning round processing
15-02-2017 11:24:49:327 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:49:327 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:49:327 - D: 	Detonating Bombs
15-02-2017 11:24:49:327 - D: 	Processing Player Commands
15-02-2017 11:24:49:327 - I: 	Trying to move player B to destination Location(X:17,Y:14)
15-02-2017 11:24:49:327 - D: 	Applying player power ups
15-02-2017 11:24:49:327 - D: 	Destroying marked entities
15-02-2017 11:24:49:327 - I: 	Player PlayerEntity(X:4, Y:9, Key:A) has a movement coverage of 6,05% for the map
15-02-2017 11:24:49:327 - I: 	Player PlayerEntity(X:17, Y:14, Key:B) has a movement coverage of 5,69% for the map
15-02-2017 11:24:49:327 - D: 	Round processing complete
