
15-02-2017 09:08:46:451 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:8, Y:11, Key:A)
15-02-2017 09:08:46:753 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:16, Y:12, Key:B)
15-02-2017 09:08:47:062 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:8, Y:14, Key:C)
15-02-2017 09:08:47:241 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:13, Y:8, Key:D)
15-02-2017 09:08:47:241 - D: 	Beginning round processing
15-02-2017 09:08:47:241 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:47:241 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:47:241 - D: 	Detonating Bombs
15-02-2017 09:08:47:241 - D: 	Processing Player Commands
15-02-2017 09:08:47:241 - I: 	Trying to move player A to destination Location(X:8,Y:12)
15-02-2017 09:08:47:241 - I: 	Trying to move player B to destination Location(X:17,Y:12)
15-02-2017 09:08:47:241 - I: 	Trying to move player C to destination Location(X:8,Y:15)
15-02-2017 09:08:47:241 - D: 	Applying player power ups
15-02-2017 09:08:47:241 - D: 	Destroying marked entities
15-02-2017 09:08:47:241 - I: 	Player PlayerEntity(X:8, Y:12, Key:A) has a movement coverage of 8,19% for the map
15-02-2017 09:08:47:241 - I: 	Player PlayerEntity(X:17, Y:12, Key:B) has a movement coverage of 10,68% for the map
15-02-2017 09:08:47:241 - I: 	Player PlayerEntity(X:8, Y:15, Key:C) has a movement coverage of 8,90% for the map
15-02-2017 09:08:47:241 - I: 	Player PlayerEntity(X:13, Y:8, Key:D) has a movement coverage of 7,12% for the map
15-02-2017 09:08:47:241 - D: 	Round processing complete
