
15-02-2017 11:25:40:892 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:12, Y:8, Key:A)
15-02-2017 11:25:41:257 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:12, Y:14, Key:B)
15-02-2017 11:25:41:257 - D: 	Beginning round processing
15-02-2017 11:25:41:257 - D: 	Removing Bomb Explosions from map
15-02-2017 11:25:41:257 - D: 	Decreasing Bomb Timers
15-02-2017 11:25:41:257 - D: 	Detonating Bombs
15-02-2017 11:25:41:257 - D: 	Processing Player Commands
15-02-2017 11:25:41:257 - D: 	Applying player power ups
15-02-2017 11:25:41:257 - D: 	Destroying marked entities
15-02-2017 11:25:41:257 - I: 	Player PlayerEntity(X:12, Y:8, Key:A) has a movement coverage of 11,39% for the map
15-02-2017 11:25:41:257 - I: 	Player PlayerEntity(X:12, Y:14, Key:B) has a movement coverage of 11,74% for the map
15-02-2017 11:25:41:257 - D: 	Round processing complete
