
18-02-2017 11:08:43:149 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:8, Key:A)
18-02-2017 11:08:43:334 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:20, Key:B)
18-02-2017 11:08:43:334 - D: 	Beginning round processing
18-02-2017 11:08:43:334 - D: 	Removing Bomb Explosions from map
18-02-2017 11:08:43:334 - D: 	Decreasing Bomb Timers
18-02-2017 11:08:43:334 - D: 	Detonating Bombs
18-02-2017 11:08:43:334 - D: 	Processing Player Commands
18-02-2017 11:08:43:334 - I: 	Trying to move player A to destination Location(X:2,Y:9)
18-02-2017 11:08:43:334 - D: 	Applying player power ups
18-02-2017 11:08:43:334 - D: 	Destroying marked entities
18-02-2017 11:08:43:334 - I: 	Player PlayerEntity(X:2, Y:9, Key:A) has a movement coverage of 3,20% for the map
18-02-2017 11:08:43:334 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 0,36% for the map
18-02-2017 11:08:43:334 - D: 	Round processing complete
