
15-02-2017 09:08:00:694 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:2, Key:A)
15-02-2017 09:08:00:885 - I: 	Added Command GameEngine.Commands.PlayerCommands.TriggerBombCommand for Player PlayerEntity(X:17, Y:18, Key:B)
15-02-2017 09:08:01:085 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:4, Y:18, Key:C)
15-02-2017 09:08:01:269 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:16, Y:4, Key:D)
15-02-2017 09:08:01:269 - D: 	Beginning round processing
15-02-2017 09:08:01:269 - D: 	Removing Bomb Explosions from map
15-02-2017 09:08:01:269 - D: 	Decreasing Bomb Timers
15-02-2017 09:08:01:269 - D: 	Detonating Bombs
15-02-2017 09:08:01:269 - I: 	Detonating Bomb BombEntity(X:2, Y:18, Radius:1, Timer:0, Owner:C)
15-02-2017 09:08:01:269 - D: 	Processing Player Commands
15-02-2017 09:08:01:269 - I: 	Trying to move player A to destination Location(X:4,Y:3)
15-02-2017 09:08:01:269 - I: 	Trying to move player C to destination Location(X:4,Y:17)
15-02-2017 09:08:01:269 - I: 	Trying to move player D to destination Location(X:16,Y:5)
15-02-2017 09:08:01:269 - D: 	Applying player power ups
15-02-2017 09:08:01:269 - D: 	Destroying marked entities
15-02-2017 09:08:01:269 - D: 	Destroyed Entity DestructibleWallEntity(X:2, Y:17)
15-02-2017 09:08:01:269 - I: 	Player PlayerEntity(X:4, Y:3, Key:A) has a movement coverage of 2,49% for the map
15-02-2017 09:08:01:269 - I: 	Player PlayerEntity(X:17, Y:18, Key:B) has a movement coverage of 3,56% for the map
15-02-2017 09:08:01:269 - I: 	Player PlayerEntity(X:4, Y:17, Key:C) has a movement coverage of 2,49% for the map
15-02-2017 09:08:01:269 - I: 	Player PlayerEntity(X:16, Y:5, Key:D) has a movement coverage of 3,20% for the map
15-02-2017 09:08:01:269 - D: 	Round processing complete
