
19-02-2017 12:16:42:947 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:2, Y:2, Key:A)
19-02-2017 12:16:43:022 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:15, Key:B)
19-02-2017 12:16:43:022 - D: 	Beginning round processing
19-02-2017 12:16:43:022 - D: 	Removing Bomb Explosions from map
19-02-2017 12:16:43:022 - D: 	Decreasing Bomb Timers
19-02-2017 12:16:43:022 - D: 	Detonating Bombs
19-02-2017 12:16:43:022 - I: 	Detonating Bomb BombEntity(X:20, Y:16, Radius:1, Timer:0, Owner:B)
19-02-2017 12:16:43:022 - D: 	Processing Player Commands
19-02-2017 12:16:43:022 - I: 	Player PlayerEntity(X:20, Y:15, Key:B) has been killed, and the command DoNothingCommand will be ignored
19-02-2017 12:16:43:022 - D: 	Applying player power ups
19-02-2017 12:16:43:022 - D: 	Destroying marked entities
19-02-2017 12:16:43:022 - D: 	Destroyed Entity PlayerEntity(X:20, Y:15, Key:B)
19-02-2017 12:16:43:022 - D: 	Destroyed Entity DestructibleWallEntity(X:19, Y:16)
19-02-2017 12:16:43:022 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 0,36% for the map
19-02-2017 12:16:43:022 - D: 	Round processing complete
