
15-02-2017 09:04:13:683 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:3, Key:A)
15-02-2017 09:04:13:951 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:19, Y:20, Key:B)
15-02-2017 09:04:14:217 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:19, Key:C)
15-02-2017 09:04:14:474 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:19, Y:2, Key:D)
15-02-2017 09:04:14:474 - D: 	Beginning round processing
15-02-2017 09:04:14:474 - D: 	Removing Bomb Explosions from map
15-02-2017 09:04:14:474 - D: 	Decreasing Bomb Timers
15-02-2017 09:04:14:474 - D: 	Detonating Bombs
15-02-2017 09:04:14:474 - D: 	Processing Player Commands
15-02-2017 09:04:14:474 - I: 	Trying to move player A to destination Location(X:2,Y:2)
15-02-2017 09:04:14:474 - I: 	Trying to move player B to destination Location(X:20,Y:20)
15-02-2017 09:04:14:474 - I: 	Trying to move player C to destination Location(X:2,Y:20)
15-02-2017 09:04:14:474 - I: 	Trying to move player D to destination Location(X:20,Y:2)
15-02-2017 09:04:14:474 - D: 	Applying player power ups
15-02-2017 09:04:14:474 - D: 	Destroying marked entities
15-02-2017 09:04:14:474 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 0,71% for the map
15-02-2017 09:04:14:474 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 0,71% for the map
15-02-2017 09:04:14:474 - I: 	Player PlayerEntity(X:2, Y:20, Key:C) has a movement coverage of 0,71% for the map
15-02-2017 09:04:14:474 - I: 	Player PlayerEntity(X:20, Y:2, Key:D) has a movement coverage of 0,71% for the map
15-02-2017 09:04:14:474 - D: 	Round processing complete
