
18-02-2017 11:08:48:939 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:10, Key:A)
18-02-2017 11:08:49:118 - I: 	Added Command PlaceBombCommand for Player PlayerEntity(X:20, Y:20, Key:B)
18-02-2017 11:08:49:118 - D: 	Beginning round processing
18-02-2017 11:08:49:118 - D: 	Removing Bomb Explosions from map
18-02-2017 11:08:49:118 - D: 	Decreasing Bomb Timers
18-02-2017 11:08:49:118 - D: 	Detonating Bombs
18-02-2017 11:08:49:118 - D: 	Processing Player Commands
18-02-2017 11:08:49:118 - I: 	Trying to move player A to destination Location(X:2,Y:11)
18-02-2017 11:08:49:118 - D: 	Applying player power ups
18-02-2017 11:08:49:118 - D: 	Destroying marked entities
18-02-2017 11:08:49:118 - I: 	Player PlayerEntity(X:2, Y:11, Key:A) has a movement coverage of 4,27% for the map
18-02-2017 11:08:49:118 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 0,36% for the map
18-02-2017 11:08:49:118 - D: 	Round processing complete
