
07-02-2017 11:47:41:575 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:4, Key:A)
07-02-2017 11:47:41:851 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:20, Y:20, Key:B)
07-02-2017 11:47:41:851 - D: 	Beginning round processing
07-02-2017 11:47:41:851 - D: 	Removing Bomb Explosions from map
07-02-2017 11:47:41:851 - D: 	Decreasing Bomb Timers
07-02-2017 11:47:41:851 - D: 	Detonating Bombs
07-02-2017 11:47:41:851 - D: 	Processing Player Commands
07-02-2017 11:47:41:851 - I: 	Trying to move player A to destination Location(X:2,Y:3)
07-02-2017 11:47:41:851 - I: 	Trying to move player B to destination Location(X:20,Y:19)
07-02-2017 11:47:41:851 - D: 	Applying player power ups
07-02-2017 11:47:41:851 - D: 	Destroying marked entities
07-02-2017 11:47:41:851 - I: 	Player PlayerEntity(X:2, Y:3, Key:A) has a movement coverage of 1,07% for the map
07-02-2017 11:47:41:851 - I: 	Player PlayerEntity(X:20, Y:19, Key:B) has a movement coverage of 1,07% for the map
07-02-2017 11:47:41:851 - D: 	Round processing complete
