
19-02-2017 11:48:14:758 - I: 	Loaded bot ../BotEx
19-02-2017 11:48:14:760 - I: 	Registered player Player 1
19-02-2017 11:48:14:760 - I: 	Registered player John
19-02-2017 11:48:14:783 - I: 		OK!
19-02-2017 11:48:15:697 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:2, Y:2, Key:A)
19-02-2017 11:48:15:780 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:20, Key:B)
19-02-2017 11:48:15:782 - D: 	Beginning round processing
19-02-2017 11:48:15:783 - D: 	Removing Bomb Explosions from map
19-02-2017 11:48:15:783 - D: 	Decreasing Bomb Timers
19-02-2017 11:48:15:784 - D: 	Detonating Bombs
19-02-2017 11:48:15:787 - D: 	Processing Player Commands
19-02-2017 11:48:15:816 - I: 	Trying to move player A to destination Location(X:2,Y:3)
19-02-2017 11:48:15:817 - D: 	Applying player power ups
19-02-2017 11:48:15:819 - D: 	Destroying marked entities
19-02-2017 11:48:15:827 - I: 	Player PlayerEntity(X:2, Y:3, Key:A) has a movement coverage of 0,71% for the map
19-02-2017 11:48:15:827 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 0,36% for the map
19-02-2017 11:48:15:827 - D: 	Round processing complete
