
19-02-2017 12:16:38:611 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:2, Y:2, Key:A)
19-02-2017 12:16:38:634 - I: 	Added Command MovementCommand(Right) for Player PlayerEntity(X:19, Y:20, Key:B)
19-02-2017 12:16:38:634 - D: 	Beginning round processing
19-02-2017 12:16:38:634 - D: 	Removing Bomb Explosions from map
19-02-2017 12:16:38:634 - D: 	Decreasing Bomb Timers
19-02-2017 12:16:38:634 - D: 	Detonating Bombs
19-02-2017 12:16:38:634 - D: 	Processing Player Commands
19-02-2017 12:16:38:634 - I: 	Trying to move player B to destination Location(X:20,Y:20)
19-02-2017 12:16:38:634 - D: 	Applying player power ups
19-02-2017 12:16:38:634 - D: 	Destroying marked entities
19-02-2017 12:16:38:634 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 0,36% for the map
19-02-2017 12:16:38:634 - I: 	Player PlayerEntity(X:20, Y:20, Key:B) has a movement coverage of 1,78% for the map
19-02-2017 12:16:38:634 - D: 	Round processing complete
