
15-02-2017 11:24:18:716 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:4, Y:9, Key:A)
15-02-2017 11:24:18:894 - I: 	Added Command MovementCommand(Left) for Player PlayerEntity(X:20, Y:18, Key:B)
15-02-2017 11:24:18:894 - D: 	Beginning round processing
15-02-2017 11:24:18:894 - D: 	Removing Bomb Explosions from map
15-02-2017 11:24:18:894 - D: 	Decreasing Bomb Timers
15-02-2017 11:24:18:894 - D: 	Detonating Bombs
15-02-2017 11:24:18:894 - D: 	Processing Player Commands
15-02-2017 11:24:18:894 - I: 	Trying to move player A to destination Location(X:4,Y:10)
15-02-2017 11:24:18:894 - I: 	Trying to move player B to destination Location(X:19,Y:18)
15-02-2017 11:24:18:894 - D: 	Applying player power ups
15-02-2017 11:24:18:894 - D: 	Destroying marked entities
15-02-2017 11:24:18:894 - I: 	Player PlayerEntity(X:4, Y:10, Key:A) has a movement coverage of 3,91% for the map
15-02-2017 11:24:18:894 - I: 	Player PlayerEntity(X:19, Y:18, Key:B) has a movement coverage of 2,14% for the map
15-02-2017 11:24:18:894 - D: 	Round processing complete
