
07-02-2017 11:47:56:039 - I: 	Added Command MovementCommand(Up) for Player PlayerEntity(X:2, Y:8, Key:A)
07-02-2017 11:47:56:240 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:18, Y:20, Key:B)
07-02-2017 11:47:56:240 - D: 	Beginning round processing
07-02-2017 11:47:56:240 - D: 	Removing Bomb Explosions from map
07-02-2017 11:47:56:240 - D: 	Decreasing Bomb Timers
07-02-2017 11:47:56:240 - D: 	Detonating Bombs
07-02-2017 11:47:56:240 - I: 	Detonating Bomb BombEntity(X:18, Y:18, Radius:1, Timer:0, Owner:B)
07-02-2017 11:47:56:240 - D: 	Processing Player Commands
07-02-2017 11:47:56:240 - I: 	Trying to move player A to destination Location(X:2,Y:7)
07-02-2017 11:47:56:240 - D: 	Applying player power ups
07-02-2017 11:47:56:240 - D: 	Destroying marked entities
07-02-2017 11:47:56:241 - D: 	Destroyed Entity DestructibleWallEntity(X:17, Y:18)
07-02-2017 11:47:56:241 - I: 	Player PlayerEntity(X:2, Y:7, Key:A) has a movement coverage of 2,85% for the map
07-02-2017 11:47:56:241 - I: 	Player PlayerEntity(X:18, Y:20, Key:B) has a movement coverage of 2,49% for the map
07-02-2017 11:47:56:241 - D: 	Round processing complete
