
19-02-2017 12:16:36:811 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:2, Y:2, Key:A)
19-02-2017 12:16:36:832 - I: 	Added Command MovementCommand(Down) for Player PlayerEntity(X:20, Y:18, Key:B)
19-02-2017 12:16:36:832 - D: 	Beginning round processing
19-02-2017 12:16:36:832 - D: 	Removing Bomb Explosions from map
19-02-2017 12:16:36:832 - D: 	Decreasing Bomb Timers
19-02-2017 12:16:36:832 - D: 	Detonating Bombs
19-02-2017 12:16:36:832 - D: 	Processing Player Commands
19-02-2017 12:16:36:832 - I: 	Trying to move player B to destination Location(X:20,Y:19)
19-02-2017 12:16:36:832 - D: 	Applying player power ups
19-02-2017 12:16:36:832 - D: 	Destroying marked entities
19-02-2017 12:16:36:833 - I: 	Player PlayerEntity(X:2, Y:2, Key:A) has a movement coverage of 0,36% for the map
19-02-2017 12:16:36:833 - I: 	Player PlayerEntity(X:20, Y:19, Key:B) has a movement coverage of 1,42% for the map
19-02-2017 12:16:36:833 - D: 	Round processing complete
