
15-02-2017 09:07:38:975 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:3, Y:2, Key:A)
15-02-2017 09:07:39:156 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:19, Key:B)
15-02-2017 09:07:39:340 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:3, Y:20, Key:C)
15-02-2017 09:07:39:541 - I: 	Added Command DoNothingCommand for Player PlayerEntity(X:20, Y:3, Key:D)
15-02-2017 09:07:39:541 - D: 	Beginning round processing
15-02-2017 09:07:39:541 - D: 	Removing Bomb Explosions from map
15-02-2017 09:07:39:541 - D: 	Decreasing Bomb Timers
15-02-2017 09:07:39:541 - D: 	Detonating Bombs
15-02-2017 09:07:39:541 - I: 	Detonating Bomb BombEntity(X:19, Y:2, Radius:1, Timer:0, Owner:D)
15-02-2017 09:07:39:541 - I: 	Detonating Bomb BombEntity(X:2, Y:3, Radius:1, Timer:0, Owner:A)
15-02-2017 09:07:39:541 - I: 	Detonating Bomb BombEntity(X:2, Y:19, Radius:1, Timer:0, Owner:C)
15-02-2017 09:07:39:541 - I: 	Detonating Bomb BombEntity(X:19, Y:20, Radius:1, Timer:0, Owner:B)
15-02-2017 09:07:39:556 - D: 	Processing Player Commands
15-02-2017 09:07:39:556 - D: 	Applying player power ups
15-02-2017 09:07:39:556 - D: 	Destroying marked entities
15-02-2017 09:07:39:556 - D: 	Destroyed Entity DestructibleWallEntity(X:18, Y:2)
15-02-2017 09:07:39:556 - D: 	Destroyed Entity DestructibleWallEntity(X:2, Y:4)
15-02-2017 09:07:39:556 - D: 	Destroyed Entity DestructibleWallEntity(X:2, Y:18)
15-02-2017 09:07:39:556 - D: 	Destroyed Entity DestructibleWallEntity(X:18, Y:20)
15-02-2017 09:07:39:556 - I: 	Player PlayerEntity(X:3, Y:2, Key:A) has a movement coverage of 1,07% for the map
15-02-2017 09:07:39:556 - I: 	Player PlayerEntity(X:20, Y:19, Key:B) has a movement coverage of 1,07% for the map
15-02-2017 09:07:39:556 - I: 	Player PlayerEntity(X:3, Y:20, Key:C) has a movement coverage of 1,07% for the map
15-02-2017 09:07:39:556 - I: 	Player PlayerEntity(X:20, Y:3, Key:D) has a movement coverage of 1,07% for the map
15-02-2017 09:07:39:556 - D: 	Round processing complete
